ds,event,total,predicted_total,predicted_change,new_prediction
2021-04-01,['corona'],152.0,59.324444780574524,-28.462926058276437,42.43897192819656
2021-04-01,['corona'],156.0,59.59702922792134,-28.462926058276437,42.63397086584869
2021-04-01,['corona'],169.0,155.09370956732295,-28.462926058276437,110.9495016921378
2021-04-01,['corona'],112.0,123.4091568089549,-28.462926058276437,88.28329975727965
2021-04-01,['corona'],174.0,61.26084382269896,-28.462926058276437,43.82421514276795
2021-04-01,['corona'],120.0,106.25955079489461,-28.462926058276437,76.01497342228706
2021-04-01,['corona'],62.0,99.54034345015423,-28.462926058276437,71.20824909578242
2021-04-01,['corona'],118.0,91.64109141842673,-28.462926058276437,65.5573553290024
2021-04-01,['corona'],285.0,165.6291442429503,-28.462926058276437,118.48624338612333
2021-04-01,['corona'],264.0,231.19989269447512,-28.462926058276437,165.3936381900322
2021-04-01,['corona'],164.0,125.29828817360524,-28.462926058276437,89.63472905846585
2021-04-01,['corona'],162.0,149.41143874878122,-28.462926058276437,106.88457141510864
2021-04-01,['corona'],58.0,55.527463449115544,-28.462926058276437,39.722722585557314
2021-04-01,['corona'],163.0,154.0218744529839,-28.462926058276437,110.18274221385973
2021-04-01,['corona'],164.0,134.8173380505275,-28.462926058276437,96.44437880746926
2021-04-01,['corona'],132.0,124.93953241111066,-28.462926058276437,89.37808568337991
2021-04-01,['corona'],86.0,121.82695951242586,-28.462926058276437,87.15144210735771
2021-04-01,['corona'],134.0,135.01174114864176,-28.462926058276437,96.58344909551228
2021-04-01,['corona'],163.0,62.54872211526731,-28.462926058276437,44.745525589201975
2021-04-01,['corona'],164.0,54.61742712964241,-28.462926058276437,39.07170923079927
2021-04-01,['corona'],174.0,96.92166588468109,-28.462926058276437,69.33492378947457
2021-04-01,['corona'],155.0,138.65155743238455,-28.462926058276437,99.18726716175624
2021-04-01,['corona'],89.0,107.72377695510046,-28.462926058276437,77.06243797318758
2021-04-01,['corona'],172.0,59.77277715355292,-28.462926058276437,42.7596957893588
2021-04-01,['corona'],152.0,119.29982786610535,-28.462926058276437,85.34360607292471
2021-04-01,['corona'],264.0,252.1414926847178,-28.462926058276437,180.37464605963208
2021-04-01,['corona'],168.0,59.59702922792134,-28.462926058276437,42.63397086584869
2021-04-01,['corona'],168.0,142.31982753808958,-28.462926058276437,101.81144025965659
2021-04-01,['corona'],170.0,59.494596961215834,-28.462926058276437,42.56069381947539
2021-04-01,['corona'],102.0,83.87946071065865,-28.462926058276437,60.00491183050284
2021-04-01,['corona'],169.0,61.2783714411123,-28.462926058276437,43.83675388811252
2021-04-01,['corona'],96.0,149.8415754802943,-28.462926058276437,107.19227864678165
2021-04-01,['corona'],134.0,150.8782626960571,-28.462926058276437,107.9338943468663
2021-04-01,['corona'],174.0,159.46965192120408,-28.462926058276437,114.07992280948095
2021-04-02,['corona'],49.0,55.33563615143419,-29.419471562498167,39.056184409935554
2021-04-02,['corona'],167.0,147.3145787894605,-29.419471562498167,103.97540817508121
2021-04-02,['corona'],48.0,97.95817933620472,-29.419471562498167,69.13940062324902
2021-04-02,['corona'],155.0,58.51981077629112,-29.419471562498167,41.30359168653242
2021-04-02,['corona'],244.0,250.15320259617593,-29.419471562498167,176.55945229571552
2021-04-02,['corona'],152.0,123.41828943114741,-29.419471562498167,87.10928086902932
2021-04-02,['corona'],257.0,143.71887909495769,-29.419471562498167,101.43754432967549
2021-04-02,['corona'],171.0,147.5449997879927,-29.419471562498167,104.13804053347621
2021-04-02,['corona'],161.0,54.72143244115391,-29.419471562498167,38.62267618553699
2021-04-02,['corona'],161.0,58.71457418750809,-29.419471562498167,41.44105673137226
2021-04-02,['corona'],151.0,148.23888363289913,-29.419471562498167,104.62778741795363
2021-04-02,['corona'],56.0,83.11201616626956,-29.419471562498167,58.660900205215
2021-04-02,['corona'],287.0,161.85182310959084,-29.419471562498167,114.23587203647992
2021-04-02,['corona'],163.0,59.09594634765993,-29.419471562498167,41.710231217320946
2021-04-02,['corona'],151.0,118.58876658725406,-29.419471562498167,83.70057812479952
2021-04-02,['corona'],166.0,59.37412653999702,-29.419471562498167,41.90657226708092
2021-04-02,['corona'],144.0,142.67554954522686,-29.419471562498167,100.70115682013086
2021-04-02,['corona'],174.0,62.53982124867236,-29.419471562498167,44.14093632118201
2021-04-02,['corona'],158.0,137.7615634637078,-29.419471562498167,97.23283947644941
2021-04-02,['corona'],389.0,277.77672614255084,-29.419471562498167,196.05628118780467
2021-04-02,['corona'],276.0,181.69350962480488,-29.419471562498167,128.24023922983054
2021-04-02,['corona'],148.0,92.1788182766399,-29.419471562498167,65.06029704709697
2021-04-02,['corona'],165.0,122.7589911147275,-29.419471562498167,86.64394463332059
2021-04-02,['corona'],152.0,59.794196849928916,-29.419471562498167,42.20306011163991
2021-04-02,['corona'],144.0,88.58316370705633,-29.419471562498167,62.5224650510977
2021-04-02,['corona'],170.0,141.27486392923973,-29.419471562498167,99.71254551061907
2021-04-02,['corona'],164.0,134.8594753759594,-29.419471562498167,95.1845303683948
2021-04-02,['corona'],172.0,61.530910799990394,-29.419471562498167,43.428841995041104
2021-04-03,['corona'],88.0,89.86728420210662,-30.71753114552421,62.26227318768777
2021-04-03,['corona'],62.0,54.54958238044457,-30.71753114552421,37.79329742297813
2021-04-03,['corona'],171.0,29.71094715136962,-30.71753114552421,20.584477706517422
2021-04-03,['corona'],47.0,35.612769084019995,-30.71753114552421,24.67340564885254
2021-04-03,['corona'],156.0,126.8920588058663,-30.71753114552421,87.91395112097743
