flight_id,ds,event,predicted_total,capacity
2210004114AODB-UFISA-final,2026-02-27,['early_ramadan'],233.52560079175822,301
2210009748AODB-UFISA-final,2026-03-20,['eid_al_fitr'],120.36798652197923,174
2210009748AODB-UFISA-final,2026-03-24,['no_major_event'],127.62192103226589,174
2210010723AODB-UFISA-final,2026-03-18,['late_ramadan'],303.9293171808812,400
2210010905AODB-UFISA-final,2026-02-20,['early_ramadan'],281.51438090173565,312
2210011183AODB-UFISA-final,2026-02-18,['early_ramadan'],266.48205946391846,296
