date_time,code,flt_number,destination,airline,ac_type,transfer,joining,total
2021-04-19 11:45:00,A6EGF,EK 091,LIMC,EK,B77W,107.0,111.0,218.0
2021-04-19 12:10:00,VTSGJ,SG 146,VOML,SG,B738,1.0,133.0,134.0
2021-04-21 12:10:00,VTSGJ,SG 146,VOML,SG,B738,1.0,169.0,170.0
2021-04-24 00:55:00,VTSGJ,SG 141,VOCL,SG,B738,,128.0,128.0
2021-04-29 11:55:00,A6EOV,EK 125,LOWW,EK,A388,34.0,173.0,207.0
2021-05-17 06:25:00,HZASE,SV 597,OERK,SV,A320,,5.0,5.0
2021-06-01 19:00:00,A7ANA,QR 1019,OTHH,QR,A35K,1.0,151.0,152.0
2021-06-10 09:40:00,HZAS58,SV 597,OERK,SV,A320,6.0,76.0,82.0
2021-06-23 09:40:00,HZAS72,SV 597,OERK,SV,A320,,79.0,79.0
2021-06-25 10:00:00,HZASP,SV 597,OERK,SV,A321,1.0,140.0,141.0
2021-06-29 18:30:00,A7BCQ,QR 1019,OTHH,QR,B788,,195.0,195.0
2021-07-13 08:55:00,A9CTE,GF 505,OBBI,GF,A20N,,111.0,111.0
2021-08-10 08:55:00,A9CTC,GF 505,OBBI,GF,A20N,5.0,71.0,76.0
2021-08-17 08:55:00,A9CCF,GF 505,OBBI,GF,A321,3.0,38.0,41.0
2021-08-18 18:30:00,A7ANN,QR 1019,OTHH,QR,A35K,2.0,198.0,200.0
2021-09-07 08:55:00,A9CTA,GF 505,OBBI,GF,A20N,1.0,55.0,55.0
2021-09-15 18:30:00,A7BED,QR 1019,OTHH,QR,B77W,,196.0,196.0
2021-09-21 18:30:00,A7ALR,QR 1019,OTHH,QR,A359,3.0,194.0,196.0
2021-09-28 09:25:00,A9CTB,GF 505,OBBI,GF,A20N,,34.0,39.0
2021-10-12 09:40:00,HZAS75,SV 597,OERK,SV,A320,,67.0,67.0
2021-10-15 19:00:00,HZAQ22,SV 595,OEJN,SV,A333,3.0,274.0,277.0
2021-10-28 19:00:00,HZAQ13,SV 595,OEJN,SV,A333,1.0,262.0,263.0
2021-12-14 05:10:00,A6FGH,FZ 271,OISS,FZ,B738,15.0,161.0,176.0
2022-01-15 05:10:00,A6FEQ,FZ 271,OISS,FZ,B738,24.0,90.0,114.0
2022-02-08 07:30:00,A6FEP,FZ 271,OISS,FZ,B738,17.0,96.0,113.0
2022-03-15 07:30:00,A6FEU,FZ 271,OISS,FZ,B738,17.0,128.0,145.0
2022-03-19 07:40:00,A6FEN,FZ 271,OISS,FZ,B738,57.0,109.0,166.0
2022-05-18 22:00:00,A6EPR,EK 582,VGHS,EK,B77W,241.0,72.0,312.0
2022-06-10 22:00:00,A6ENO,EK 582,VGHS,EK,B77W,267.0,104.0,371.0
2022-06-13 13:20:00,APBMM,PA 217,OPIS,PA,A321,,157.0,157.0
2022-07-08 07:55:00,A6FEQ,FZ 8747,UGSB,FZ,B738,45.0,106.0,144.0
2022-07-17 07:55:00,A6FEA,FZ 8747,UGSB,FZ,B738,14.0,71.0,85.0
2022-08-02 07:55:00,A6FEB,FZ 8747,UGSB,FZ,B738,40.0,126.0,166.0
