date_time,code,flt_number,origin,airline,ac_type,transfer,disembarking,total
2021-03-28 01:20:00,A6EPI,EK 708,FSIA,EK,B77W,99.0,31.0,130.0
2021-03-28 01:45:00,A6END,EK 335,RPLL,EK,B77W,136.0,164.0,300.0
2021-03-28 01:50:00,A6ECO,EK 449,NZAA,EK,B77W,133.0,9.0,142.0
2021-03-28 09:30:00,A6EWH,EK 946,ORMM,EK,B77L,8.0,23.0,31.0
2021-03-30 18:45:00,VTANP,AI 983,VABB,AI,B788,1.0,190.0,190.0
2021-04-06 02:25:00,A6ECH,EK 092,LIMC,EK,B77W,20.0,91.0,111.0
2021-04-10 18:20:00,VTTVB,UK 223,VIDP,UK,A21N,1.0,128.0,128.0
2021-04-15 19:20:00,VTTVB,UK 223,VIDP,UK,A21N,1.0,114.0,114.0
2021-04-20 02:25:00,A6EGF,EK 092,LIMC,EK,B77W,12.0,53.0,65.0
2021-05-19 06:05:00,HZAS55,SV 596,OERK,SV,A320,1.0,82.0,83.0
2021-06-19 08:20:00,HZAS55,SV 596,OERK,SV,A320,1.0,112.0,113.0
2021-06-22 08:05:00,A9CTE,GF 504,OBBI,GF,A20N,1.0,73.0,73.0
2021-06-29 08:05:00,A9CTB,GF 504,OBBI,GF,A20N,,98.0,99.0
2021-06-29 21:10:00,PHAKB,KL 431,EHAM,KL,A333,2.0,3.0,5.0
2021-08-31 08:05:00,A9CTA,GF 504,OBBI,GF,A20N,3.0,103.0,103.0
2021-09-17 17:30:00,HZAQ21,SV 594,OEJN,SV,A333,1.0,84.0,85.0
2021-10-01 17:30:00,HZAQ24,SV 594,OEJN,SV,A333,4.0,102.0,106.0
2021-10-12 08:20:00,HZAS75,SV 596,OERK,SV,A320,1.0,75.0,76.0
2021-10-22 20:25:00,VTEXM,AI 951,VOHS,AI,A20N,0.0,126.0,126.0
2021-10-26 08:35:00,A9CCE,GF 504,OBBI,GF,A321,0.0,152.0,157.0
2021-10-26 17:30:00,HZAQ12,SV 594,OEJN,SV,A333,2.0,81.0,83.0
2022-04-13 20:10:00,A6EPO,EK 573,VECC,EK,B77W,171.0,94.0,265.0
2022-04-29 20:10:00,A6EPL,EK 573,VECC,EK,B77W,132.0,86.0,218.0
2022-05-13 20:10:00,A6EBQ,EK 573,VECC,EK,B77W,204.0,104.0,308.0
2022-06-12 20:10:00,A6EGM,EK 573,VECC,EK,B77W,173.0,99.0,272.0
2022-07-02 20:05:00,A6EGP,EK 573,VECC,EK,B77W,131.0,46.0,177.0
2022-07-03 20:05:00,A6EGU,EK 573,VECC,EK,B77W,153.0,42.0,195.0
2022-07-13 20:05:00,A6EGS,EK 573,VECC,EK,B77W,176.0,76.0,252.0
2022-07-15 20:05:00,A6ENV,EK 573,VECC,EK,B77W,187.0,119.0,306.0
2022-08-03 20:05:00,A6ENU,EK 573,VECC,EK,B77W,205.0,83.0,288.0
2022-08-13 20:05:00,A6EGN,EK 573,VECC,EK,B77W,204.0,129.0,333.0
2022-08-19 20:05:00,A6ENQ,EK 573,VECC,EK,B77W,195.0,152.0,347.0
2022-09-14 20:05:00,A6EPH,EK 573,VECC,EK,B77W,146.0,195.0,341.0
2022-10-16 20:05:00,A6EBM,EK 573,VECC,EK,B77W,157.0,165.0,322.0
