Model Version,Added Features,R2_score,RMSE
lightgbm_arrival_total,[],0.916914471147632,36.99007837513083
lightgbm_arrival_transfer_percentage,[],0.8911521190238254,9.986470270623268
lightgbm_arrival_total,,0.916914471147632,36.99007837513083
lightgbm_arrival_transfer_percentage,,0.8911521190238254,9.986470270623268
lightgbm_arrival_total,,0.916914471147632,36.99007837513083
lightgbm_arrival_transfer_percentage,,0.8911521190238254,9.986470270623268
lightgbm_arrival_total,,0.916914471147632,36.99007837513083
lightgbm_arrival_transfer_percentage,,0.8911521190238254,9.986470270623268
lightgbm_arrival_total,,0.916914471147632,36.99007837513083
lightgbm_arrival_transfer_percentage,,0.8911521190238254,9.986470270623268
lightgbm_departure_total,,0.9044879325142536,36.49896703658808
lightgbm_departure_total,,0.924238014137325,33.76343008214808
lightgbm_departure_transfer_percentage,,0.9065282171428752,9.5128125259698
lightgbm_departure_total,,0.9208489509226028,34.55074152925378
lightgbm_departure_transfer_percentage,,0.9034189303407386,9.634179644669125
lightgbm_arrival_total,,0.916914471147632,36.99007837513083
lightgbm_arrival_transfer_percentage,,0.8911521190238254,9.986470270623268
lightgbm_arrival_total,,0.916914471147632,36.99007837513083
lightgbm_arrival_transfer_percentage,,0.8911521190238254,9.986470270623267
